latitude_band_far_north,latitude_band_far_south,latitude_band_mid_north,latitude_band_mid_south,latitude_band_near_equator_north,latitude_band_near_equator_south,longitude_band_east_1,longitude_band_east_2,longitude_band_east_3,longitude_band_west_1,longitude_band_west_2,longitude_band_west_3,depth_category_above_reference,depth_category_deep,depth_category_intermediate,depth_category_shallow,type_earthquake,type_experimental explosion,type_explosion,type_ice quake,type_landslide,type_mining explosion,type_other event,type_quarry blast,status_automatic,status_reviewed,net_ak,net_av,net_ci,net_hv,net_mb,net_nc,net_nm,net_pr,net_se,net_tx,net_us,net_uu,net_uw,latitude,longitude,absolute_latitude,absolute_longitude,north_south,east_west,depth_signed_log,gap,nst_log,dmin_log,rms_log,horizontalError_log,depthError_log,total_location_error_log,station_coverage,gap_per_station,distance_per_station,error_per_station,mag
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.78053255108267,0.1589467797823984,0.6047155141151956,0.6781871653557425,1.0,0.0,0.13028557718656883,0.6923076923076923,0.40812176876411776,0.112887030738619,0.17830409004444728,0.4180355759209965,0.841594189237642,0.7599416067291328,0.00242914979757085,0.08100242522231203,0.019901539885344096,0.39679044891617415,1.5
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7638166752435751,0.16165205116249798,0.5746084234292335,0.6727165531809804,1.0,0.0,0.03775300344341276,0.15384615384615385,0.5632942532354599,0.0040254845906669764,0.02585498855034302,0.03062035070777829,0.08298270185144761,0.05316236861004312,0.02358974358974359,0.008600556902901282,0.0002402054037378853,0.0022932819931809094,-0.1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4732775765881731,0.8556754852401098,0.051316250453296616,0.7081463052579121,1.0,1.0,0.4835124690468886,0.24556213017751477,0.7166107518254972,0.41963554136635695,0.2685738719968971,0.5451456233185599,0.25597681266773675,0.5349593701398299,0.03888888888888889,0.005299559867061888,0.02501079042757154,0.023915899853597468,4.7
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767117762122451,0.18585177335587388,0.5805540360301664,0.6237797641287597,1.0,0.0,0.4071662651076198,0.4792899408284023,0.4404373589540212,0.07727916439725159,0.15903206996319438,0.1496592319541618,0.7443331767187028,0.66593688095527,0.004190476190476191,0.04766235516033414,0.010591531915987558,0.1927218650386312,1.05
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6648022692185365,0.21628352948171597,0.39627282617380777,0.5622405275160931,1.0,0.0,0.42520356268016724,0.15976331360946744,0.47998844487382286,0.0,0.09661623082510096,0.12767737215166122,0.13755941512240674,0.13890391372950256,0.013930348258706466,0.014322285098356237,0.0,0.010856218921086748,0.4
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8617959368648365,0.09187346109327044,0.7510796142522602,0.8138231375992873,1.0,0.0,0.48578825329210434,0.1952662721893491,0.4250150246447888,0.09127514249327778,0.09661623082510096,0.35261067844092886,0.4641807473301327,0.4419829273922022,0.008438818565400845,0.02320496803116043,0.014022328220636662,0.0948346486775226,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7715484076749041,0.18077973682276294,0.5885341053205283,0.6340364596355349,1.0,0.0,0.3824034492870285,0.21597633136094674,0.5123040350637262,0.0371574614928864,0.20054184852916979,0.14631429167126928,0.3378136901001711,0.2944962910182728,0.01317829457364341,0.015385939698793375,0.0031448966125950115,0.023432330901792132,1.66
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6631164626180918,0.2166419478398487,0.3932365071267448,0.5615157322707499,1.0,0.0,0.4659140679124342,0.2189349112426035,0.5021729901668021,0.0,0.09661623082510096,0.1462961503745527,0.20471451647786032,0.19001758492958065,0.012260536398467433,0.016497059616085722,0.0,0.014092604141409748,0.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5424031548471375,0.24011557186065807,0.17581885345150802,0.5140472622685642,1.0,0.0,0.4835124690468886,0.5532544378698225,0.4677598011511463,0.32173072911432465,0.41782101724150045,0.4405656437218581,0.2647691775534544,0.43334617029246375,0.004333333333333333,0.04671921315009431,0.06263473537696525,0.06406300004708648,4.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6633143913282653,0.21643356507349243,0.3935929980270072,0.5619371248552518,1.0,0.0,0.46330968816504703,0.1834319526627219,0.570529748965358,0.0,0.05050697511519855,0.10911764510645346,0.10389964882534591,0.10891031011614283,0.021333333333333333,0.009568849366747506,0.0,0.004843020626724057,1.3
